exiobase name,ecoinvent name,brightway code,CFs
CH4 - agriculture - air,"Methane, non-fossil",6c977009-5c4e-4901-a4c1-ab20389cb972,27
CH4 - combustion - air,"Methane, fossil",0795345f-c7ae-410c-ad25-1845784c75f5,29.8
CH4 - non combustion - Extraction/production of (natural) gas - air,"Methane, fossil",0795345f-c7ae-410c-ad25-1845784c75f5,29.8
CH4 - non combustion - Extraction/production of crude oil - air,"Methane, fossil",0795345f-c7ae-410c-ad25-1845784c75f5,29.8
CH4 - non combustion - Mining of antracite - air,"Methane, fossil",70ef743b-3ed5-4a6d-b192-fb6d62378555,29.8
CH4 - non combustion - Mining of bituminous coal - air,"Methane, fossil",70ef743b-3ed5-4a6d-b192-fb6d62378555,29.8
CH4 - non combustion - Mining of coking coal - air,"Methane, fossil",70ef743b-3ed5-4a6d-b192-fb6d62378555,29.8
CH4 - non combustion - Mining of lignite (brown coal) - air,"Methane, fossil",70ef743b-3ed5-4a6d-b192-fb6d62378555,29.8
CH4 - non combustion - Mining of sub-bituminous coal - air,"Methane, fossil",70ef743b-3ed5-4a6d-b192-fb6d62378555,29.8
CH4 - non combustion - Oil refinery - air,"Methane, fossil",70ef743b-3ed5-4a6d-b192-fb6d62378555,29.8
CH4 - waste - air,"Methane, fossil",0795345f-c7ae-410c-ad25-1845784c75f5,29.8
CO2 - agriculture - peat decay - air,"Carbon dioxide, non-fossil",28e1e2d6-97ad-4dfd-932a-9edad36dcab9,1
CO2 - combustion - air,"Carbon dioxide, fossil",349b29d1-3e58-4c66-98b9-9d1a076efd2e,1
CO2 - non combustion - Cement production - air,"Carbon dioxide, fossil",aa7cac3a-3625-41d4-bc54-33e2cf11ec46,1
CO2 - non combustion - Lime production - air,"Carbon dioxide, fossil",aa7cac3a-3625-41d4-bc54-33e2cf11ec46,1
CO2 - waste - biogenic - air,"Carbon dioxide, non-fossil",eba59fd6-f37e-41dc-9ca3-c7ea22d602c7,1
CO2 - waste - fossil - air,"Carbon dioxide, fossil",349b29d1-3e58-4c66-98b9-9d1a076efd2e,1
N2O - agriculture - air,Dinitrogen monoxide,81305cda-63f1-4c1a-99c6-2c2568550ec4,273
N2O - combustion - air,Dinitrogen monoxide,20185046-64bb-4c09-a8e7-e8a9e144ca98,273
SF6 - air,Sulfur hexafluoride,35d1dff5-b535-4628-9826-4a8fce08a1f2,25200
