Activity name,Exchange name,Exchange type,Exchange amount,Exchange uncertainty type,GSD,Exchange negative
column_1,EU28-Agriculture-Forestry-Fishing,technosphere,0,0,,
column_1,EU28-Energy,technosphere,,0,,
column_1,"EU28-Natural gas and services related to natural gas extraction, excluding surveying",technosphere,,0,,
column_1,EU28-Industry,technosphere,0.000001215,2,3.33000452,FALSE
column_1,EU28-Motor Gasoline,technosphere,-1.55176E-05,2,1.54,TRUE
column_1,EU28-Gas/Diesel Oil,technosphere,-1.96796E-05,2,1.54,TRUE
column_1,EU28-Refinery Feedstocks,technosphere,,0,,
column_1,EU28-Lubricants,technosphere,1.53E-10,2,1.54,FALSE
column_1,EU28-P- and other fertiliser,technosphere,-6.46073E-05,2,1.54,TRUE
column_1,EU28-Chemicals nec,technosphere,2.61268E-06,2,4.09770687,FALSE
column_1,EU28-Biogasoline,technosphere,,0,,
column_1,EU28-Biodiesels,technosphere,5.96124E-06,2,1.59,FALSE
column_1,"EU28-Cement, lime and plaster",technosphere,,0,,
column_1,EU28-Basic iron and steel and of ferro-alloys and first products thereof,technosphere,,0,,
column_1,EU28-Aluminium and aluminium products,technosphere,0.000014985,2,2.014014413,FALSE
column_1,EU28-Copper products,technosphere,,0,,
column_1,EU28-Electricity by coal,technosphere,-5.84E-07,2,2.674794737,TRUE
column_1,EU28-Electricity by gas,technosphere,-3.91255E-07,2,2.674794737,TRUE
column_1,EU28-Electricity by nuclear,technosphere,-2.61694E-07,2,2.674794737,TRUE
column_1,EU28-Electricity by hydro,technosphere,-1.02666E-07,2,2.674794737,TRUE
column_1,EU28-Electricity by wind,technosphere,-5.36952E-07,2,2.674794737,TRUE
column_1,EU28-Electricity by petroleum and other oil derivatives,technosphere,-1.91769E-08,2,2.674794737,TRUE
column_1,EU28-Electricity by biomass and waste,technosphere,-2.34332E-07,2,2.674794737,TRUE
column_1,EU28-Electricity by solar photovoltaic,technosphere,-2.01123E-07,2,2.674794737,TRUE
column_1,EU28-Electricity by solar thermal,technosphere,0,1,0,FALSE
column_1,"EU28-Electricity by tide, wave, ocean",technosphere,-6.78206E-09,2,2.674794737,TRUE
column_1,EU28-Electricity by Geothermal,technosphere,-9.35457E-10,2,2.674794737,TRUE
column_1,EU28-Electricity nec,technosphere,,0,,
column_1,EU28-Steam and hot water supply services,technosphere,7.55E-07,2,2.674794737,FALSE
column_1,"EU28-Collected and purified water, distribution services of water (41)",technosphere,1.8E-07,2,2.288684673,FALSE
column_1,EU28-Services,technosphere,,0,,
column_1,EU28-Railway transportation services,technosphere,,0,,
column_1,EU28-Other land transportation services,technosphere,,0,,
column_1,EU28-Waste management,technosphere,0.000002211,2,2.238117654,FALSE
column_1,EU28-Intert/metal waste for treatment: incineration,technosphere,1.65196E-05,2,2.699910682,FALSE
column_1,EU28-Sewage sludge for treatment: biogasification and land application,technosphere,-0.00001,1,0,TRUE
column_1,EU28-Other waste for treatment: waste water treatment,technosphere,5.67E-07,2,1.56,FALSE
column_1,EU28-Inert/metal/hazardous waste for treatment: landfill,technosphere,,0,,
column_1,column_1,production,1,0,,
